file,line,ciudad,nombre,buscado,tipo,lat_csv,lng_csv,lat_res,lng_res,dist_m,tolerancia_m,area,confianza,fuente,veredicto
europa_occidental.csv,75,York,Merchant Adventurers' Hall,Merchant Adventurers' Hall,Sitio histórico,53.957996,-1.078923,53.957900,-1.078820,13,200,york,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,176,Ámsterdam,Magere Brug,Magere Brug,Sitio,52.3637,4.9024,52.363584,4.902375,13,300,amsterdam,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,16,Londres,Southwark Cathedral,Southwark Cathedral,Iglesia,51.506158,-0.089682,51.506129,-0.089625,5,150,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,20,Londres,Big Ben y Palacio de Westminster,Big Ben,Sitio histórico,51.5007,-0.1246,51.500704,-0.124572,2,200,londres,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,2,Londres,British Museum,British Museum,Museo,51.519312,-0.126705,51.519312,-0.126705,0,150,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,3,Londres,Natural History Museum,Natural History Museum,Museo,51.496511,-0.176002,51.496511,-0.176002,0,150,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,4,Londres,Victoria & Albert Museum,Victoria and Albert Museum,Museo,51.496884,-0.171637,51.496884,-0.171637,0,150,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,5,Londres,Tate Modern,Tate Modern,Museo,51.507429,-0.099342,51.507429,-0.099342,0,150,londres,high,photon/photon,ok
europa_occidental.csv,6,Londres,National Gallery,National Gallery,Museo,51.508881,-0.128383,51.508881,-0.128383,0,150,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,7,Londres,National Portrait Gallery,National Portrait Gallery,Museo,51.509284,-0.128319,51.509284,-0.128319,0,150,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,8,Londres,Science Museum,Science Museum,Museo,51.497398,-0.174673,51.497398,-0.174673,0,150,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,10,Londres,Churchill War Rooms,Churchill War Rooms,Museo,51.50221,-0.129252,51.502210,-0.129252,0,150,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,11,Londres,Sir John Soane's Museum,Sir John Soane's Museum,Museo,51.517075,-0.117495,51.517075,-0.117495,0,150,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,12,Londres,Museum of London Docklands,Museum of London Docklands,Museo,51.507634,-0.023869,51.507634,-0.023869,0,150,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,13,Londres,The Courtauld Gallery,Courtauld Gallery,Museo,51.511624,-0.1177,51.511624,-0.117700,0,150,londres,high,photon/photon,ok
europa_occidental.csv,14,Londres,Westminster Abbey,Westminster Abbey,Iglesia,51.499399,-0.127391,51.499399,-0.127391,0,150,londres,high,nominatim/nominatim_free,ok
